1|Bijeljina|Republika Srpska
2|Prnjavor|Republika Srpska
3|Nis|Serbia
4|Belgrade|Serbia
5|Budva|Crna Gora
6|Ugljevik|Republika Srpska
7|Ljubljana|Slovenia
8|Maribor|Slovenia
9|Brasilia|Brazil
10|Sarajevo|Bosnia and Herzegovina
11|Novi Sad|Serbia
12|Tallinn|Estonia
13|Jakarta|Indonesia
14|Moscow|Russia
15|Marsh Harbour|Bahamas
16|Thakhek|Laos
17|Ordino|Andorra
18|Salzburg|Austria
19|Hrazdan|Armenia
20|Freeport|Bahamas
21|Zarqa|Jordan
22|Szeged|Hungary
23|Najaf|Iraq
24|Triesen|Liechtenstein
25|Batna|Algeria
26|Sumgait|Azerbaijan
27|Delmas|Haiti
28|Bolans|Antigua and Barbuda
29|Durres|Albania
30|Annaba|Algeria
31|La Massana|Andorra
32|Huambo|Angola
33|Oran|Algeria
34|Potter's Village|Antigua and Barbuda
35|Encamp|Andorra
36|Annaba|Algeria
37|Durres|Albania
38|Dublin|Ireland
39|Kabul|Afghanistan
40|Huambo|Angola
41|Batna|Algeria
42|Kragujevac|Serbia
43|Mexico City|Mexico
44|Johannesburg|South Africa
45|Buenos Aires|Argentina
46|Sydney|Australia
47|Saint John's|Antigua and Barbuda
48|Canillo|Andorra
49|Novi Sad|Serbia
50|Novi Sad|Serbia
51|Novi Sad|Serbia
52|Novi Sad|Serbia
53|Bolans|Antigua and Barbuda
54|San Ignacio|Belize
55|La Massana|Andorra
56|La Massana|Andorra
57|Ordino|Andorra
58|Lobito|Angola
59|Huambo|Angola
60|La Massana|Andorra
61|Coopers Town|Bahamas
62|Coopers Town|Bahamas
63|La Massana|Andorra
64||
65|Tirana|Albania
66|Lobito|Angola
67|Constantine|Algeria
68|Canillo|Andorra
69|San Miguel de Tucuman|Argentina
70|Novi Sad|Serbia
71|Kabul|Afghanistan
72|Graz|Austria
73|Kabul|Afghanistan
74|Kabul|Afghanistan
75|Kabul|Afghanistan
77|Novi Sad|Serbia
78|Ljubljana|Slovenia
79|Canillo|Andorra
80|Canillo|Andorra
81|Kabul|Afghanistan
82|Canillo|Andorra
83|Canillo|Andorra
84|Canillo|Andorra
85|Canillo|Andorra
86|Canillo|Andorra
87|Canillo|Andorra
88|Canillo|Andorra
89|Canillo|Andorra
90|Kabul|Afghanistan
91|Constantine|Algeria
92|Kandahar|Afghanistan
93|Jalalabad|Afghanistan
94|Jalalabad|Afghanistan
95|Tirana|Albania
96|Yerevan|Armenia
97|Gyumri|Armenia
98|Herat|Afghanistan
99|Tirana|Albania
100||
101|Encamp|Andorra
102|Canillo|Andorra
103|Canillo|Andorra
104|Brisbane|Australia
105|Canillo|Andorra
106|Francistown|Botswana
107|Tallinn|Estonia
108|Canillo|Andorra
